state,id,(,),{,},void,int,float,char,boolean,string,comma,;,:=,[,],if,else,while,return,charlit,strlit,&&,||,!,<,<=,=,!=,>=,>,true,false,+,-,/,*,%,intlit,floatlit,$,s',program,func-defs,func-def,ret-type,type,param-list,params,stmt-list,stmts,stmt,decl,vdecl,v-id-list,adecl,a-id-list,expr-list,assg,ifel,loop,rets,expr,bool-expr,bool-term,bool-primary,arth-expr,arth-term,arth-primary,func-call,arr-sub
106, , ,r63, , , , , , , , ,r63,r63, , ,r63, , , , , , ,r63,r63, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107, , ,r64, , , , , , , , ,r64,r64, , ,r64, , , , , , ,r64,r64, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,125,43,46,50,51
109,s126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110,s127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111,s77,s49, , , , , , , , , , , , , , , , , , ,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , ,128,36,42,44,37,43,46,50,51
112,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,129,43,46,50,51
113, , ,r72, , , , , , , , ,r72,r72, , ,r72, , , , , , ,r72,r72, ,r72,r72,r72,r72,r72,r72, , ,r72,r72,r72,r72,r72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114, , ,r73, , , , , , , , ,r73,r73, , ,r73, , , , , , ,r73,r73, ,r73,r73,r73,r73,r73,r73, , ,r73,r73,r73,r73,r73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115, , ,r74, , , , , , , , ,r74,r74, , ,r74, , , , , , ,r74,r74, ,r74,r74,r74,r74,r74,r74, , ,r74,r74,r74,r74,r74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116, , ,r67, , , , , , , , ,r67,r67, , ,r67, , , , , , ,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117, , ,r76, , , , , , , , ,r76,r76, , ,r76, , , , , , ,r76,r76, ,r76,r76,r76,r76,r76,r76, , ,r76,r76,r76,r76,r76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
118, , ,r83, , , , , , , , ,r83,r83,s130, ,r83, , , , , , ,r83,r83, ,r83,r83,r83,r83,r83,r83, , ,r83,r83,r83,r83,r83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119, , ,s117, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120, , ,r81, , , , , , , , ,r81,r81, , ,r81, , , , , , ,r81,r81, ,r81,r81,r81,r81,r81,r81, , ,r81,r81,r81,r81,r81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
121, , , ,s131, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122, , , ,s132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123, , , ,s133, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124, , , ,s134, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
125, , , , , , , , , , , , , , , ,s135, , , , , , , , , , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126, , , , , , , , , , , ,r30,r30,s136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127, , , , , , , , , , , , , , ,s137, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128, , , , , , , , , , , ,r31,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129, , , , , , , , , , , , , , , ,s138, , , , , , , , , , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130,s77,s49, , , , , , , , , , , , , , , , , , ,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , ,139,36,42,44,37,43,46,50,51
131,s33,s49, , ,r16, ,s7,s8,s9,s10,s11, , , , , ,s34, ,s35,s40,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , ,41, , ,140,23,24,25,31, ,32, , ,26,27,28,30,29,36,42,44,37,43,46,50,51
